GADMunicipal;montoA14;montoB14;montoTotal14;montoA15;montoB15;montoTotal15;montoA16;montoB16;montoTotal16
Urdaneta;3233922;1547608;4781530;3233922;1790160;5024081;3233922;1172918;4406839
Ventanas;6548055;3059586;9607641;6548055;3899524;10447579;6548055;2210135;8758190
Vinces;6644815;3046409;9691224;6644815;3874886;10519701;6644815;2366995;9011810
Palenque;2935734;1280210;4215944;2935734;1619397;4555130;2935734;941015;3876749
Buena Fe;5398392;2348399;7746791;5398392;3066905;8465296;5398392;1944532;7342923
Valencia;4407734;2266298;6674032;4407734;3124293;7532027;4407734;1733812;6141546
Mocache;4387827;1929314;6317141;4387827;2430894;6818721;4387827;1470485;5858312
Quinsaloma;1850356;919941;2770297;1850356;1203714;3054070;1850356;730548;2580905
Portoviejo;18483525;9364695;27848220;18483525;12258975;30742500;18483525;7454507;25938032
Bolívar(Calceta);4100316;2072651;6172967;4100316;2625851;6726167;4100316;1457929;5558246
Chone;11302129;5640952;16943080;11302129;6904823;18206951;11302129;4173288;15475417
El Carmen;7427595;4107017;11534613;7427595;5290754;12718349;7427595;4059796;11487391
